lgd,margin,theoretical_threshold,empirical_min_cost_threshold,empirical_min_cost,approval_rate_at_empirical_threshold
0.4,0.04,0.09090909090909091,0.081,-0.015948587037819907,0.6998634190758024
0.4,0.06,0.13043478260869565,0.114,-0.03063501999934962,0.798323631751813
0.4,0.08,0.16666666666666666,0.175,-0.04660661441904328,0.8905238854021007
0.4,0.1,0.2,0.205,-0.06351419466033625,0.9167994536763032
0.4,0.12,0.23076923076923075,0.251,-0.08083818412409353,0.9440709245227797
0.5,0.04,0.07407407407407407,0.066,-0.013539966179961626,0.6332395694448961
0.5,0.06,0.10714285714285712,0.097,-0.02697359435465514,0.753869792852265
0.5,0.08,0.13793103448275865,0.117,-0.042098874833338754,0.8051160937855679
0.5,0.1,0.16666666666666669,0.175,-0.058258268023804106,0.8905238854021007
0.5,0.12,0.1935483870967742,0.193,-0.0751066631979448,0.9075680465675913
0.6,0.04,0.0625,0.055,-0.011491008422490326,0.570583070469253
0.6,0.06,0.09090909090909091,0.081,-0.02392288055672987,0.6998634190758024
0.6,0.08,0.11764705882352942,0.114,-0.03834460667945757,0.798323631751813
0.6,0.1,0.14285714285714288,0.137,-0.053673864264576765,0.8414848297616337
0.6,0.12,0.16666666666666666,0.175,-0.06990992162856494,0.8905238854021007
0.7,0.04,0.05405405405405406,0.047,-0.009843338428018603,0.5143247374069136
0.7,0.06,0.07894736842105263,0.071,-0.021423612240252354,0.6579094988780853
0.7,0.08,0.10256410256410257,0.095,-0.0348900848752886,0.7478781177847875
0.7,0.1,0.12500000000000003,0.114,-0.049807323339078405,0.798323631751813
0.7,0.12,0.14634146341463414,0.14,-0.06528503138109332,0.8459765536080127
0.8,0.04,0.047619047619047616,0.043,-0.008506064843419727,0.4825696725309746
0.8,0.06,0.0697674418604651,0.066,-0.019218318103476312,0.6332395694448961
0.8,0.08,0.09090909090909091,0.081,-0.031897174075639814,0.6998634190758024
0.8,0.1,0.11111111111111112,0.108,-0.04609118402653572,0.7837671945627784
0.8,0.12,0.13043478260869565,0.114,-0.06127003999869924,0.798323631751813
